name,description,image,attributes
12,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/12.png,"[{'trait_type': 'Background', 'value': 'Baby Blue'}, {'trait_type': 'Body', 'value': 'Mosaic'}, {'trait_type': 'Ear', 'value': 'Ear'}, {'trait_type': 'Head', 'value': 'Brown'}, {'trait_type': 'Mouth', 'value': 'Snarl Blue'}, {'trait_type': 'Right Eye', 'value': 'Jade'}, {'trait_type': 'Left Eye', 'value': 'Blue Squint'}, {'trait_type': 'Right Eyebrow', 'value': 'Fancy'}, {'trait_type': 'Left Eyebrow', 'value': 'Sinister'}, {'trait_type': 'Clothing', 'value': 'Varsity Jacket Blue'}, {'trait_type': 'Jewelry', 'value': 'Nose Ring'}, {'trait_type': 'Headwear', 'value': 'Party Hat'}, {'trait_type': 'Name', 'value': ''}, {'trait_type': 'Generation', 'value': '1'}]"

13,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/13.png,"[{'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Body', 'value': 'Brown'}, {'trait_type': 'Ear', 'value': 'Ear'}, {'trait_type': 'Head', 'value': 'Brown'}, {'trait_type': 'Mouth', 'value': 'Lip Bite Diamond'}, {'trait_type': 'Right Eye', 'value': 'Emerald'}, {'trait_type': 'Left Eye', 'value': 'Yellow'}, {'trait_type': 'Right Eyebrow', 'value': 'Fancy'}, {'trait_type': 'Left Eyebrow', 'value': 'Sinister'}, {'trait_type': 'Clothing', 'value': 'Tank Top LA'}, {'trait_type': 'Jewelry', 'value': 'Nose Stud'}, {'trait_type': 'Headwear', 'value': ''}, {'trait_type': 'Name', 'value': ''}, {'trait_type': 'Generation', 'value': '1'}]"

14,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/14.png,"[{'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Body', 'value': 'Purple'}, {'trait_type': 'Ear', 'value': 'Ear'}, {'trait_type': 'Head', 'value': 'Brown'}, {'trait_type': 'Mouth', 'value': 'Snarl'}, {'trait_type': 'Right Eye', 'value': 'Gold'}, {'trait_type': 'Left Eye', 'value': 'Blue Squint'}, {'trait_type': 'Right Eyebrow', 'value': 'Moody'}, {'trait_type': 'Left Eyebrow', 'value': 'Sinister'}, {'trait_type': 'Clothing', 'value': 'Leather Jacket'}, {'trait_type': 'Jewelry', 'value': ''}, {'trait_type': 'Headwear', 'value': 'Bandana Blue'}, {'trait_type': 'Name', 'value': ''}, {'trait_type': 'Generation', 'value': '1'}]"

15,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/15.png,"[{'trait_type': 'Background', 'value': 'Peach'}, {'trait_type': 'Body', 'value': 'Brown'}, {'trait_type': 'Ear', 'value': 'Ear'}, {'trait_type': 'Head', 'value': 'Brown'}, {'trait_type': 'Mouth', 'value': 'Lip Bite Blue'}, {'trait_type': 'Right Eye', 'value': 'Cotton Candy'}, {'trait_type': 'Left Eye', 'value': 'Blue Squint'}, {'trait_type': 'Right Eyebrow', 'value': 'Moody'}, {'trait_type': 'Left Eyebrow', 'value': 'Snooty'}, {'trait_type': 'Clothing', 'value': 'Construction'}, {'trait_type': 'Jewelry', 'value': ''}, {'trait_type': 'Headwear', 'value': 'Afro'}, {'trait_type': 'Name', 'value': ''}, {'trait_type': 'Generation', 'value': '1'}]"

16,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/16.png,"[{'trait_type': 'Background', 'value': 'Peach'}, {'trait_type': 'Body', 'value': 'Purple'}, {'trait_type': 'Ear', 'value': 'Ear'}, {'trait_type': 'Head', 'value': 'Brown'}, {'trait_type': 'Mouth', 'value': 'Snarl Gold Grill'}, {'trait_type': 'Right Eye', 'value': 'Rainbow'}, {'trait_type': 'Left Eye', 'value': 'Glass'}, {'trait_type': 'Right Eyebrow', 'value': 'Moody'}, {'trait_type': 'Left Eyebrow', 'value': 'Sinister'}, {'trait_type': 'Clothing', 'value': 'Tuxedo'}, {'trait_type': 'Jewelry', 'value': 'Nose Ring'}, {'trait_type': 'Headwear', 'value': 'Pablo Fitted Red'}, {'trait_type': 'Name', 'value': ''}, {'trait_type': 'Generation', 'value': '1'}]"

17,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/17.png,"[{'trait_type': 'Background', 'value': 'Peach'}, {'trait_type': 'Body', 'value': 'Brown'}, {'trait_type': 'Ear', 'value': 'Ear'}, {'trait_type': 'Head', 'value': 'Brown'}, {'trait_type': 'Mouth', 'value': 'Lip Bite'}, {'trait_type': 'Right Eye', 'value': 'Gold'}, {'trait_type': 'Left Eye', 'value': 'Yellow'}, {'trait_type': 'Right Eyebrow', 'value': 'Fancy'}, {'trait_type': 'Left Eyebrow', 'value': 'Sinister'}, {'trait_type': 'Clothing', 'value': 'Tuxedo White'}, {'trait_type': 'Jewelry', 'value': ''}, {'trait_type': 'Headwear', 'value': 'Bandana Blue'}, {'trait_type': 'Name', 'value': ''}, {'trait_type': 'Generation', 'value': '1'}]"

18,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/18.png,"[{'trait_type': 'Background', 'value': 'Indigo'}, {'trait_type': 'Body', 'value': 'Brown'}, {'trait_type': 'Ear', 'value': 'Ear'}, {'trait_type': 'Head', 'value': 'Brown'}, {'trait_type': 'Mouth', 'value': 'Moustache Rainbow'}, {'trait_type': 'Right Eye', 'value': 'Jade'}, {'trait_type': 'Left Eye', 'value': 'Blue Squint'}, {'trait_type': 'Right Eyebrow', 'value': 'Moody'}, {'trait_type': 'Left Eyebrow', 'value': 'Calm'}, {'trait_type': 'Clothing', 'value': ''}, {'trait_type': 'Jewelry', 'value': ''}, {'trait_type': 'Headwear', 'value': 'Cowboy Hat'}, {'trait_type': 'Name', 'value': ''}, {'trait_type': 'Generation', 'value': '1'}]"

19,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/19.png,"[{'trait_type': 'Background', 'value': 'Pink'}, {'trait_type': 'Body', 'value': 'Brown'}, {'trait_type': 'Ear', 'value': 'Ear'}, {'trait_type': 'Head', 'value': 'Brown'}, {'trait_type': 'Mouth', 'value': 'Lip Bite Blue'}, {'trait_type': 'Right Eye', 'value': 'Jade'}, {'trait_type': 'Left Eye', 'value': 'Yellow'}, {'trait_type': 'Right Eyebrow', 'value': 'Fancy'}, {'trait_type': 'Left Eyebrow', 'value': 'Sinister'}, {'trait_type': 'Clothing', 'value': 'T-Shirt Blue Stripes'}, {'trait_type': 'Jewelry', 'value': ''}, {'trait_type': 'Headwear', 'value': ''}, {'trait_type': 'Name', 'value': ''}, {'trait_type': 'Generation', 'value': '1'}]"

20,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/20.png,"[{'trait_type': 'Background', 'value': 'Peach'}, {'trait_type': 'Body', 'value': 'Mosaic'}, {'trait_type': 'Ear', 'value': 'Ear'}, {'trait_type': 'Head', 'value': 'Brown'}, {'trait_type': 'Mouth', 'value': 'Unbothered'}, {'trait_type': 'Right Eye', 'value': 'Pacman'}, {'trait_type': 'Left Eye', 'value': 'Purple Lazy'}, {'trait_type': 'Right Eyebrow', 'value': 'Fancy'}, {'trait_type': 'Left Eyebrow', 'value': 'Calm'}, {'trait_type': 'Clothing', 'value': 'Varsity Jacket Red'}, {'trait_type': 'Jewelry', 'value': ''}, {'trait_type': 'Headwear', 'value': 'Olive Branches'}, {'trait_type': 'Name', 'value': ''}, {'trait_type': 'Generation', 'value': '1'}]"

21,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/21.png,"[{'trait_type': 'Background', 'value': 'Baby Blue'}, {'trait_type': 'Body', 'value': 'Brown'}, {'trait_type': 'Ear', 'value': 'Ear'}, {'trait_type': 'Head', 'value': 'Brown'}, {'trait_type': 'Mouth', 'value': 'Unbothered'}, {'trait_type': 'Right Eye', 'value': 'Pacman'}, {'trait_type': 'Left Eye', 'value': 'Blue Squint'}, {'trait_type': 'Right Eyebrow', 'value': 'Moody'}, {'trait_type': 'Left Eyebrow', 'value': 'Sinister'}, {'trait_type': 'Clothing', 'value': 'Fur Coat Brown'}, {'trait_type': 'Jewelry', 'value': ''}, {'trait_type': 'Headwear', 'value': ''}, {'trait_type': 'Name', 'value': ''}, {'trait_type': 'Generation', 'value': '1'}]"

